time_ms,case1,case2,case3a,case3b
37.100,1009958.651,-23001.281,-2264.540,-324.723
37.200,1010783.931,-23449.216,-2265.823,-224.308
37.300,1011602.552,-23884.313,-2280.219,-144.075
37.400,1012414.866,-24306.646,-2307.138,-84.170
37.500,1013221.217,-24716.294,-2345.890,-44.569
37.600,1014021.939,-25113.341,-2395.694,-25.077
37.700,1014817.359,-25497.873,-2455.682,-25.335
37.800,1015607.795,-25869.983,-2524.911,-44.821
37.900,1016393.555,-26229.766,-2602.368,-82.859
38.000,1017174.939,-26577.322,-2686.986,-138.623
38.100,1017952.239,-26912.752,-2777.646,-211.147
38.200,1018725.738,-27236.164,-2873.195,-299.339
38.300,1019495.710,-27547.667,-2972.449,-401.982
38.400,1020262.421,-27847.374,-3074.209,-517.754
38.500,1021026.129,-28135.401,-3177.269,-645.238
38.600,1021787.083,-28411.866,-3280.429,-782.931
38.700,1022545.523,-28676.891,-3382.500,-929.262
38.800,1023301.683,-28930.601,-3482.321,-1082.601
38.900,1024055.787,-29173.121,-3578.763,-1241.275
39.000,1024808.051,-29404.581,-3670.742,-1403.583
39.100,1025558.685,-29625.112,-3757.225,-1567.810
39.200,1026307.888,-29834.847,-3837.243,-1732.242
39.300,1027055.854,-30033.921,-3909.891,-1895.181
39.400,1027802.768,-30222.472,-3974.345,-2054.957
39.500,1028548.807,-30400.639,-4029.859,-2209.950
39.600,1029294.142,-30568.560,-4075.776,-2358.596
39.700,1030038.936,-30726.379,-4111.530,-2499.400
39.800,1030783.343,-30874.238,-4136.652,-2630.953
39.900,1031527.513,-31012.282,-4150.772,-2751.939
40.000,1032271.587,-31140.656,-4153.621,-2861.145
40.100,1033015.699,-31259.507,-4145.033,-2957.472
40.200,1033759.964,-31368.994,-4124.953,-3039.951
40.300,1034504.475,-31469.294,-4093.450,-3107.760
40.400,1035249.295,-31560.605,-4050.710,-3160.230
40.500,1035994.463,-31643.146,-3997.039,-3196.851
40.600,1036739.990,-31717.154,-3932.854,-3217.273
40.700,1037485.861,-31782.882,-3858.680,-3221.307
40.800,1038232.038,-31840.603,-3775.148,-3208.924
40.900,1038978.454,-31890.602,-3682.979,-3180.258
41.000,1039725.018,-31933.183,-3582.986,-3135.596
41.100,1040471.615,-31968.660,-3476.061,-3075.381
41.200,1041218.104,-31997.359,-3363.165,-3000.201
41.300,1041964.320,-32019.618,-3245.321,-2910.783
41.400,1042710.076,-32035.785,-3123.605,-2807.988
41.500,1043455.160,-32046.216,-2999.131,-2692.798
41.600,1044199.338,-32051.274,-2873.047,-2566.309
41.700,1044942.354,-32051.327,-2746.519,-2429.720
41.800,1045683.930,-32046.751,-2620.722,-2284.325
41.900,1046423.768,-32037.923,-2496.830,-2131.498
42.000,1047161.547,-32025.227,-2376.004,-1972.681
42.100,1047896.929,-32009.044,-2259.383,-1809.372
42.200,1048629.556,-31989.760,-2148.073,-1643.112
42.300,1049359.051,-31967.760,-2043.139,-1475.470
42.400,1050085.020,-31943.430,-1945.592,-1308.029
42.500,1050807.050,-31917.152,-1856.384,-1142.375
42.600,1051524.714,-31889.310,-1776.398,-980.078
42.700,1052237.569,-31860.281,-1706.442,-822.681
42.800,1052945.154,-31830.444,-1647.240,-671.688
42.900,1053646.997,-31800.169,-1599.430,-528.545
43.000,1054342.611,-31769.826,-1563.555,-394.630
43.100,1055031.497,-31739.778,-1540.059,-271.242
43.200,1055713.140,-31710.385,-1529.289,-159.589
43.300,1056387.019,-31681.998,-1531.486,-60.776
43.400,1057052.599,-31654.967,-1546.786,24.200
43.500,1057709.334,-31629.631,-1575.222,94.461
43.600,1058356.670,-31606.326,-1616.720,149.252
43.700,1058994.045,-31585.379,-1671.104,187.952
43.800,1059620.885,-31567.111,-1738.095,210.072
43.900,1060236.614,-31551.836,-1817.319,215.262
44.000,1060840.644,-31539.860,-1908.303,203.312
44.100,1061432.383,-31531.481,-2010.489,174.152
44.200,1062011.234,-31526.991,-2123.232,127.855
44.300,1062576.594,-31526.672,-2245.810,64.631
44.400,1063127.854,-31530.799,-2377.427,-15.174
44.500,1063664.403,-31539.639,-2517.226,-111.081
44.600,1064185.627,-31553.451,-2664.291,-222.485
44.700,1064690.908,-31572.485,-2817.660,-348.660
44.800,1065179.626,-31596.984,-2976.328,-488.766
44.900,1065651.158,-31627.181,-3139.262,-641.855
45.000,1066104.883,-31663.301,-3305.403,-806.883
45.100,1066540.176,-31705.563,-3473.683,-982.716
45.200,1066956.413,-31754.175,-3643.027,-1168.138
45.300,1067352.970,-31809.337,-3812.365,-1361.865
45.400,1067729.224,-31871.242,-3980.642,-1562.553
45.500,1068084.552,-31940.074,-4146.823,-1768.813
45.600,1068418.333,-32016.008,-4309.908,-1979.217
